Nº Entrada,Data entrada,Entidade Sindical,Entidade Patronal,CAE,NIF,Designação,Início,Fim,Observações,ANO,MÊS
1351-3,10-Dec,ASPTC -  Associação Sindical do Pessoal de Tráfego da Carris ,"COMPANHIA CARRIS DE FERRO DE LISBOA, SA",49310,,Empresa,24-Dec,31-Dec,Greve dias 24 e 31 /12,2013,12
Nº 1275,09-Dec,"STFCMM - SINDICATO DOS TRANSPORTES FLUVIAIS, COSTEIROS, E DA MARINHA MERCANTE","Moveaveiro - Empresa Municipal de Mobilidade, EM",49310,,Empresa,23-Dec,,,2013,12
1 340,09-Dec,SINTTAV - Sindicato Nacional dos Trabalhadores das Telecomunicações e Audiovisual,"CTT - Correios de Portugal, SA",53100,,,27-Dec,,,2013,12
1 346,10-Dec,STI - Sindicato dos Trabalhadores dos Impostos,Autoridade Tributária e Aduaneira / Direcção Regional dos Assuntos Fiscais da Região Autonoma da Madeira,84130,,,19-Dec,20-Dec,,2013,12
1351-3,10-Dec,SITRA - Sindicato dos Trabalhadores dos Transportes ,"COMPANHIA CARRIS DE FERRO DE LISBOA, SA",49310,,Empresa,24-Dec,31-Dec,Greve dias 24 e 31 /12,2013,12
Nº 1233,10-Dec,SNM - Sindicato Nacional dos Motoristas de Desenho,"STCP, SA",49310,,Empresa,24-Dec,31-Dec,,2013,12
Nº 1290,11-Dec,SNTCT - Sindicato Nacional dos Trabalhadores dos Correios e Telecomunicações,"CTT - Correios de Portugal, SA ( CDP 3260 Figueiró dos Vinhos e CDP 3270 Pedrógão)",53100,,Empresa,02-Jan,17-Jan,,2013,12
1 348,10-Dec,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações ,"COMPANHIA CARRIS DE FERRO DE LISBOA, SA",49310,,Empresa,25-Dec,,,2013,12
1351-3,11-Dec,SNM - Sindicato Nacional dos Motoristas,"COMPANHIA CARRIS DE FERRO DE LISBOA, SA",49310,,Empresa,25-Dec,,,2013,12
Nº 1316,16-Dec,STIANOR - Sindicato dos Trabalhadores das Indústrias de Alimentação do Norte,"Bel Portugal, SA",,,Empresa,01-Jan,31-Dec,,2013,12
Nº 1298,11-Dec,"USVC-CGTPIN - União dos Sindicatos de Viana do Castelo / STIMMDVC - SINDICATO DOS TRABALHADORES DAS INDÚSTRIAS METALÚRGICA E METALOMECÂNICA DO DISTRITO DE VIANA DO CASTELO / CESP - Sindicato dos Trabalhadores do Comércio Escritórios e Serviços de Portugal / SITE-NORTE - SINDICATO DOS TRABALHADORES DAS INDÚSTRIAS TRANSFORMADORAS, ENERGIA E ACTIVIDADES DO AMBIENTE DO NORTE","Empresa Estaleiros Navais de Viana do Castelo, SA",,,Empresa,18-Dec,31-Dec,Greve todo dia de 18-12,2013,12
Nº 1291,11-Dec,"SITE-NORTE - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Norte","IMPRENSA NACIONAL-CASA DA MOEDA, SA",,,Empresa,19-Dec,,CANCELADA  em 5-12 (entrada nº 1271),2013,12
Nº 1313,13-Dec,STIANOR - Sindicato dos Trabalhadores das Indústrias de Alimentação do Norte,"Lactogal - Produtos Alimentares, SA",,,,,,,2013,12
1369 e Nº 1324,16-Dec,SPBC - Sindicato dos Profissionais de Banca dos Casinos,"Varzim-SOL, SA - Salas de jogo do Casinos de Chaves, Espinho, Rocha, Vilamoura e Monte Gordo",,,Empresa,25-Dec,26-Dec,,2013,12
1 373,16-Dec,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações  / SITRA - Sindicato dos Trabalhadores dos Transportes / SNM - Sindicato Nacional dos Motoristas / ASPTC -  Associação Sindical do Pessoal de Tráfego da Carris ,"COMPANHIA CARRIS DE FERRO DE LISBOA, SA",49310,,Empresa,31-Dec,31-Jan,,2013,12
Nº 1310,13-Dec,"SITE Centro Norte - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Centro e Norte","Fábrica  Papel Cartão  Zarrinha, S.A",17211,,Empresa,02-Jan-14,30-Jan-14,"Greve dias 2, 9, 16, 23 e 30/1 entre as 22 e as 24H",2013,12
Nº 1309,13-Dec,"STIHTRSN - Sindicato dos Trabalhadores da Indústria de Hotelaria, Turismo, Restaurantes e Similares do Norte","Nobrecer, Lda.  Nas cantinas dos Hospitais Trofa Saúde, em Matosinhos, Alfena, Trofa e Braga",,,Empresa,27-Dec,,CANCELADA  em 26-12 (entrada nº 1347),2013,12
1 370,16-Dec,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações ,"COMPANHIA CARRIS DE FERRO DE LISBOA, SA",49310,,Empresa,01-Jan,,,2013,12
1 385,16-Dec,"FIEQUIMETAL - Federação Intersindical das Indústrias Metalúrgicas, Químicas, Eléctricas, Farmacêutica, Celulose, Papel, Gráfica, Imprensa, Energia e Minas ","EDP _Distribuição de Energia, SA (reparação de avarias)",35130,,,01-Jan,31-Jan,,2013,12
1 394,16-Dec,SE - Sindicato dos Enfermeiros ,"Enfermeiros da ECCI - Equipa de Cuidados Continuados, da Unidade de Cuidados Continuados Braga Saudável, do Agrupamento de Centros de Saúde do Cávado I - Braga",86903,,,01-Jan,TI,,2013,12
1 395,17-Dec,"FEPCES - Federação Portuguesa dos Sindicatos de Comércio, Escritórios e Serviços",Todos os trabalhadores no âmbito estatutário do Sindicato,,,,16-Dec,31-Mar,,2013,12
1 396,17-Dec,SNM - Sindicato Nacional dos Motoristas,"COMPANHIA CARRIS DE FERRO DE LISBOA, SA",49310,,Empresa,01-Jan,,,2013,12
Nº 1319,16-Dec,STRUN - Sindicato dos Trabalhadores de Transportes Rodoviários e Urbanos do Norte  / SNM - Sindicato Nacional dos Motoristas / SITRA - Sindicato dos Trabalhadores dos Transportes / SMTP - ASSOCIAÇÃO SINDICAL DE MOTORISTAS DOS TRANSPORTES COLECTIVOS DO PORTO,"STCP, SA",49310,,Empresa,01-Jan,25-Dec,DIAS FERIADOS,2013,12
Nº 1322,17-Dec,STSJ - Sindicato dos Trabalhadores das Salas de Jogos,"Solverde - Sociedade de Investimentos Hoteleiros da Costa Verde, SA (Casino de Espinho)",,,Empresa,25-Dec,26-Dec,,2013,12
Nº 1325,17-Dec,SEP - Sindicato dos Enfermeiros Portugueses,"Todos os enfermeiros da ECCI - Equipa de Cuidados Continuados Integrados, da Unidade de Cuidados Continuados de Braga Saudavel, Agrupamento C. Saude Cávado I - Braga",86903,,FP,19-Dec,,,2013,12
1405-2,18-Dec,SNTSF - Sindicato Nacional dos Trabalhadores do Sector Ferroviário,CP Carga - Logística e Transportes Ferroviários de Mercadorias SA,49200,,,03-Jan,31-Jan,,2013,12
1405-2 e 1418,18-Dec,SNTSF - Sindicato Nacional dos Trabalhadores do Sector Ferroviário,"CP - Comboios de Portugal, EPE ",49100,,,03-Jan,31-Jan,,2013,12
1 420,20-Dec,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações ,"Rodoviária do Tejo, SA",,,,07-Jan,08-Jan,,2013,12
1 406,18-Dec,SIMA - Sindicato das Industrias Metalúrgicas e Afins,FBP - Foundation Brakes Portugal (Unidade em Alferrarede),,,,01-Jan,31-Dec,,2013,12
1 412,19-Dec,SENSIQ - Sindicato de Quadros Técnicos,"Metropolitano de Lisboa, EPE",49310,,Empresa,02-Jan,,,2013,12
1 413,19-Dec,"STIHTRSS - SINDICATO DOS TRABALHADORES DA INDÚSTRIA DE HOTELARIA, TURISMO, RESTAURANTES E SIMILARES DO SUL","Hotel Praia Mar - Empreendimento Hoteleiro, SA",,,,27-Dec,28-Dec,,2013,12
1 417,20-Dec,SITRA - Sindicato dos Trabalhadores dos Transportes,"Rodoviária do Tejo, SA",,,,07-Jan,08-Jan,,2013,12
1 419,20-Dec,SITAVA - Sindicato dos Trabalhadores da Aviação e Aeroportos,Groundforce Portugal,,,,07-Jan,,,2013,12
Nº 1336,20-Dec,"STIHTRSN - Sindicato dos Trabalhadores da Indústria de Hotelaria, Turismo, Restaurantes e Similares do Norte",Solar Residêncial São Gabriel,,,Empresa,28-Dec,01-Jan,CANCELADA  em 27-12 (entrada nº 1353),2013,12
1 439,27-Dec,"SINTEVECC SUL - Sindicato dos Trabalhadores dos Sectores Têxteis,Vestuário,Calçado e Curtumes do Distrito do Porto","Jobbdress, Lda.",,,,02-Jan,TI,,2013,12
Nº 1337,20-Dec,"STIHTRSN - Sindicato dos Trabalhadores da Indústria de Hotelaria, Turismo, Restaurantes e Similares do Norte",Solar Residêncial São Gabriel,,,Empresa,31-Dec,,,2013,12
1 436,27-Dec,"STIHTRSA - SINDICATO DOS TRABALHADORES DA INDÚSTRIA DE HOTELARIA, TURISMO, RESTAURANTES E SIMILARES DO ALGARVE","Solverde - Sociedade de Investimentos Hoteleiros da Costa Verde, SA (no Hotel Algarve Casino)",,,,31-Dec,,,2013,12
Nº 1338,23-Dec,"STITEAA Norte - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Norte","CNB/Camac, SA",,,Empresa,31-Dec,TI,CANCELADA  em 17-1 (entrada nº 0050),2013,12
Nº 1344,23-Dec,"STIHTRSN - Sindicato dos Trabalhadores da Indústria de Hotelaria, Turismo, Restaurantes e Similares do Norte","SOLNAVE, SA ",56291,,Empresa,02-Jan,03-Jan,,2013,12
1 435,27-Dec,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações / STTM - Sindicato dos Trabalhadores da Tracção do Metropolitano de Lisboa / SINDEM - Sindicato da Manutenção do Metropolitano / SITRA - Sindicato dos Trabalhadores dos Transportes / FETESE -  Federação dos Sindicatos da Indústria e Serviços,"Metropolitano de Lisboa, EPE",49310,,Empresa,09-Jan,,,2013,12
1 437,27-Dec,SNTSF - Sindicato Nacional dos Trabalhadores do Sector Ferroviário,"EMEF - Empresa de Manutenção e Equipamento Ferroviário, SA ",33170,,Empresa,03-Jan,31-Jan,,2013,12
1 438,27-Dec,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações ,CARRISTUR ,49310,,Empresa,10-Jan,,,2013,12
1 440,27-Dec,"SINTEVECC - Sindicato dos Trabalhadores dos Sectores Têxteis,Vestuário,Calçado e Curtumes ",ATP / ANITT-LAR / ANASEL / AICR / APPICAPS / APIC,,,,01-Jan,,,2013,12
1 441,30-Dec,SITRENS - Sindicato Nacional Ferroviário do Pessoal de Trens,"CP - Comboios de Portugal, EPE / CP Carga - Logística e Transportes Ferroviários de Mercadorias SA",49100 / 49200,,2 Empresas,14-Jan,14-Feb,,2013,12
9,03-Jan,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações / STTM - Sindicato dos Trabalhadores da Tracção do Metropolitano de Lisboa / SINDEM - Sindicato da Manutenção do Metropolitano / SITRA - Sindicato dos Trabalhadores dos Transportes / FETESE -  Federação dos Sindicatos da Indústria e Serviços,"Metropolitano de Lisboa, EPE",49310,,Empresa,16-Jan,,,2013,12
27,08-Jan,SITRENS - Sindicato Nacional Ferroviário do Pessoal de Trens,"CP - Comboios de Portugal, EPE / CP Carga - Logística e Transportes Ferroviários de Mercadorias SA",49100 / 49200,,2 Empresas,23-Jan,14-Feb,,2014,1
43,09-Jan,SENSIQ - Sindicato de Quadros Técnicos,"Metropolitano de Lisboa, EPE",49310,,Empresa,23-Jan,,,2014,1
47,09-Jan,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações / STTM - Sindicato dos Trabalhadores da Tracção do Metropolitano de Lisboa / SINDEM - Sindicato da Manutenção do Metropolitano / SITRA - Sindicato dos Trabalhadores dos Transportes / FETESE -  Federação dos Sindicatos da Indústria e Serviços,"Metropolitano de Lisboa, EPE",49310,,Empresa,23-Jan,,,2014,1
67,09-Jan,"STIHTRSS - SINDICATO DOS TRABALHADORES DA INDÚSTRIA DE HOTELARIA, TURISMO, RESTAURANTES E SIMILARES DO SUL","Sociedade Hoteleira Oliatlântico, SA",55112,,Empresa,15-Jan,16-Jan,,2014,1
69,09-Jan,"STIHTRSS - SINDICATO DOS TRABALHADORES DA INDÚSTRIA DE HOTELARIA, TURISMO, RESTAURANTES E SIMILARES DO SUL",Iria Hoteis Hot. Turismo Lda. (no Hotel VIP Santa Iria),55111,,Empresa,15-Jan,16-Jan,,2014,1
88,13-Jan,SINTAP - Sindicato dos Trabalhadores da Administração Pública e Entidades com Fins Públicos,Câmara Municipal de Mira,84113,,FP,17-Jan,31-Mar,,2014,1
90,13-Jan,SINTAP - Sindicato dos Trabalhadores da Administração Pública e Entidades com Fins Públicos,Câmara Municipal de Oeiras,84113,,FP,17-Jan,31-Mar,,2014,1
92,13-Jan,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações,"TST - Transportes Sul do Tejo, SA",49391,,Empresa,24-Jan,,,2014,1
93,13-Jan,"SETTCMCSP - Sindicato dos Estivadores, Trabalhadores do Tráfego e Conferentes Marítimos do Centro e Sul de Portugal","Trabalhadores do âmbito estatutário que exercem actividade nas áreas dos Portos de Lisboa, Setubal e Figueira da Foz",52240,,Sector,27-Jan,03-Feb,,2014,1
108,14-Jan,"STFCMM - SINDICATO DOS TRANSPORTES FLUVIAIS, COSTEIROS, E DA MARINHA MERCANTE / SITEMAQ - Sindicato da Mestrança e Marinhagem da Marinha Mercante, Energia e Fogueiros de Terra / SNTSF - Sindicato Nacional dos Trabalhadores do Sector Ferroviário / SIMAMEVIP - Sindicato dos Trabalhadores da Marinha Mercante, Agências de Viagens, Transitários e Pesca","SOFLUSA-SOCIEDADE FLUVIAL DE TRANSPORTES, SA",50102,,Empresa,01-Feb,31-Dec,,2014,1
111,15-Jan,SINCTA - Sindicato dos Controladores de Tráfego Aéreo,NAV PORTUGAL E.P.E.,52230,,Empresa,29-Jan-14,,,2014,1
114,16-Jan,STAL - Sindicato Nacional dos Trabalhadores da Administração Local,Trabalhadores da Administração Local e Regional,8411,,FP,01-Feb,,,2014,1
115,16-Jan,STA - Sindicato dos Técnicos de Segurança Aérea,NAV PORTUGAL E.P.E.,52230,,Empresa,30-Jan,,,2014,1
124,17-Jan,"FIEQUIMETAL - Federação Intersindical das Indústrias Metalúrgicas, Químicas, Eléctricas, Farmacêutica, Celulose, Papel, Gráfica, Imprensa, Energia e Minas","EDP DISTRIBUIÇÃO - ENERGIA, SA",35130,,Empresa,01-Feb,28-Feb,,2014,1
125,17-Jan,SNTSF - Sindicato Nacional dos Trabalhadores do Sector Ferroviário,"EMEF - Empresa de Manutenção e Equipamento Ferroviário, SA ",33170,,Empresa,01-Feb,28-Feb,,2014,1
126,17-Jan,SNTSF - Sindicato Nacional dos Trabalhadores do Sector Ferroviário,"CP - Comboios de Portugal, EPE",49100,,Empresa,01-Feb,28-Feb,,2014,1
127,17-Jan,SNTSF - Sindicato Nacional dos Trabalhadores do Sector Ferroviário,CP Carga - Logística e Transportes Ferroviários de Mercadorias SA,49200,,Empresa,01-Feb,28-Feb,,2014,1
131,21-Jan-14,STML - Sindicato dos Trabalhadores do Município de Lisboa,"Trabalhadores do Município de Lisboa, com exceção ao Regimento de Sapadores Bombeiros",841,,FP,01-Feb-14,,,2014,1
134,21-Jan-14,SNTSF - Sindicato Nacional dos Trabalhadores do Sector Ferroviário,"CP - Comboios de Portugal, EPE / CP Carga - Logística e Transportes Ferroviários de Mercadorias SA / REFER - Rede Ferroviária Nacional, EPE / REFER ENGINEERING / REFER Telecom / REFER Património / EMEF - Empresa de Manutenção e Equipamento Ferroviário, SA ",49100 / 49200 / 71120  / 61100  / 68200 / 52211 / 33170,,7 Empresas,04-Feb-14,,Greve nas 2 últimas horas do período de trabalho,2014,1
135,21-Jan-14,"SETTCMCSP - Sindicato dos Estivadores, Trabalhadores do Tráfego e Conferentes Marítimos do Centro e Sul de Portugal","Todo o âmbito estatutária que exercem actividade nas áreas dos Portos de Lisboa, Setubal, Figueira da Foz e Sines",52240,,Sector,03-Feb-14,10-Feb-14,,2014,1
142,23-Jan-14,"FEVICCOM - Federação Portuguesa dos Sindicatos da Construção, Cerâmica e Vidro","SGSP - Saint Gobain Sekurit Portugal, SA",23120,,Empresa,01-Feb,,,2014,1
147,24-Jan-14,ASSPJ - Associação Sindical dos Seguranças da Polícia Judiciária,Associados do Sindicato,84240,,FP,04-Feb-14,TI,,2014,1
156,27-Jan,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações ,"COMPANHIA CARRIS DE FERRO DE LISBOA, SA",49310,,Empresa,07-Feb,,Plenário das 14:00 às 18:00,2014,1
157,27-Jan-14,"SETTCMCSP - Sindicato dos Estivadores, Trabalhadores do Tráfego e Conferentes Marítimos do Centro e Sul de Portugal","Trabalhadores do âmbito estatutário que exercem actividade nas áreas dos Portos de Lisboa, Setubal e Figueira da Foz",52240,,Sector,10-Feb,17-Feb,,2014,1
206,05-Feb,"FESAHT - Federação dos Sindicatos da Agricultura, Alimentação, Bebidas, Hotelaria e Turismo de Portugal",FUNDAÇÃO INATEL,55111,,Empresa,07-Feb,,,2014,1
207,05-Feb-14,"STIHTRSA - Sindicato dos Trabalhadores da Indústria de Hotelaria, Turismo, Restaurantes e Similares do Algarve",Quinta do Vale Golf Resort,55119,,Empresa,06-Feb-14,,GREVE CANCELADA dia 3/2,2014,1
113-4,16-Jan,SITNA - Sindicato dos Técnicos de Navegação Aérea,Todo o âmbito estatutário deste Sindicato,52230,,Empresa,30-Jan,,2 horas de greve,2014,1
113-4,15-Jan,SINTICA - Sindicato dos Técnicos de Informação e Comunicações Aeronáuticas,NAV PORTUGAL E.P.E.,52230,,Empresa,30-Jan,,2 horas de greve,2014,1
113-4,16-Jan,SINTAC - Sindicato Nacional dos Trabalhadores da Aviação Civil,NAV PORTUGAL E.P.E.,52230,,Empresa,30-Jan,,2 horas de greve,2014,1
113-4,16-Jan,SITAVA - Sindicato dos Trabalhadores da Aviação e Aeroportos,NAV PORTUGAL E.P.E.,52230,,Empresa,30-Jan,,2 horas de greve,2014,1
23 e 24,08-Jan,CESP - Sindicato dos Trabalhadores do Comércio Escritórios e Serviços de Portugal,"Brisa - Auto Estradas de Portugal, SA / Brisa - ACESS Electrónica, Rodoviária, SA / Brisa - Assistência Rodoviária, SA / BCI - Brisa - Conservação de Infra-estruturas, SA / Brisa - Engenharia e Gestão, SA / Brisa - Operações & Manutenção, SA / Brisa - Inovação e Tecnologia, SA / Via Verde de Portugal, Sa - Gestão de Sistemas Electrónicos de Cobrança",n,,8 empresas,15-Jan,,SUSPENSA dia 13-1,2014,1
Nº  46,16-Jan,"STIHTRSN - Sindicato dos Trabalhadores da Indústria de Hotelaria, Turismo, Restaurantes e Similares do Norte","Ibersol, SA e Iberusa, SA",56101 / 46390,,Empresa,24-Jan,,CANCELADA dia 24-1 entrada nº 78,2014,1
Nº 14,07-Jan,STFPSC - Sindicato dos Trabalhadores em Funções Públicas e Sociais do Centro,"Assistentes Operacionais da Carreira de Assistente Operacional (no Centro Hospitalar e Universitário de Coimbra, EPE",86100,,FP,21-Jan,25-Jan,,2014,1
Nº 15,08-Jan,STSTA - Sindicato dos Trabalhadores do Sector Têxtil de Aveiro,TAPEÇARIAS FERREIRA DE SÁ LDA,13930,,Empresa,15-Jan,TI,,2014,1
Nº 20,09-Jan,"STIHTRSN - Sindicato dos Trabalhadores da Indústria de Hotelaria, Turismo, Restaurantes e Similares do Norte","Nobrecer, Lda. (nas cantinas dos Hospitais Trofa Saúde, Matosinhos, Alfena, Trofa e Braga)",56290,,Empresa,23-Jan,24-Jan,CANCELADA dia 22-1 entrada nº 64,2014,1
nº 21,09-Jan,"SITE Centro Norte - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Centro e Norte","Fábrica  Papel Cartão  Zarrinha, S.A",17211,,Empresa,05-Dec-13,26-Dec-13,"Greve dias 6, 13, 20 e 27/2 entre as 22 e as 24H",2014,1
Nº 26,10-Jan, STIANOR - Sindicato dos Trabalhadores das Indústrias de Alimentação do Norte,"DAN CAKE (PORTUGAL), SA (em Coimbra)",10720,,Empresa,03-Feb,31-Dec,,2014,1
Nº 38,14-Jan,STRUN - Sindicato dos Trabalhadores de Transportes Rodoviários e Urbanos do Norte ,UNIÃO DE TRANSPORTES DOS CARVALHOS LDA,49391,,Empresa,09-Feb,,,2014,1
Nº 5,03-Jan-14,"STAD - Sindicato dos Trabalhadores de Serviços de Portaria, Vigilância, Limpeza, Domésticas e Actividades Diversas",Conforlimpa Tejo (no Hospital da Figueira da Foz),81210,,Empresa,20-Jan-14,,,2014,1
Nº 56,21-Jan,STMTM - Sindicato Têxtil do Minho e Trás-os-Montes,ATP / ANIVEC/APIV / ANIT-LAR / ANIL / ANASEL / AICR,n,,Empresa,28-Jan,05-Jan,,2014,1
Nº 62,21-Jan,SNTCT - Sindicato Nacional dos Trabalhadores dos Correios e Telecomunicações,"DHL EXPRESS PORTUGAL, LDA (no Aeroporto Francisco Sá Carneiro)",53200,,,27-Jan,31-Jan,Greve nas 2 últimas horas do período de trabalho,2014,1
Nº 63,21-Jan,"SITE-NORTE - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Norte",BOSCH CAR MULTIMEDIA PORTUGAL SA,26400,,Empresa,31-Jan,TI,,2014,1
Nº 73,23-Jan,"SITE-NORTE - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Norte","CNB CAMAC-COMPANHIA NACIONAL DE BORRACHAS, SA",22111,,Empresa,31-Jan,TI,CANCELADA dia 17-1 entrada nº 50,2014,1
Nº 94,31-Jan,"STFCMM - SINDICATO DOS TRANSPORTES FLUVIAIS, COSTEIROS, E DA MARINHA MERCANTE","Moveaveiro - Empresa Municipal de Mobilidade, EM",49310,,Empresa,14-Feb,,Greve entre as 9 e as 13h,2014,1
Nº 95,31-Jan,STSTBA - Sindicato dos Trabalhadores do Sector Têxtil da Beira Alta,"CORREIA, CHAVES & LOUREIRO, LDA",14132,,Empresa,10-Feb,TI,,2014,1
,,SNTCT - Sindicato Nacional dos Trabalhadores dos Correios e Telecomunicações,"DHL EXPRESS PORTUGAL, LDA",53200,,Empresa,27-Jan,31-Jan,Greve nas 2 últimas horas do período de trabalho,2014,1
,,"STFCMM - SINDICATO DOS TRANSPORTES FLUVIAIS, COSTEIROS, E DA MARINHA MERCANTE / SITEMAQ - Sindicato da Mestrança e Marinhagem da Marinha Mercante, Energia e Fogueiros de Terra / SNTSF - Sindicato Nacional dos Trabalhadores do Sector Ferroviário / SIMAMEVIP - Sindicato dos Trabalhadores da Marinha Mercante, Agências de Viagens, Transitários e Pesca","SOFLUSA-SOCIEDADE FLUVIAL DE TRANSPORTES, SA",50102,,Empresa,30-Jan,,Plenário das 13:55 às 15:55,2014,1
